clientCode,family,consumo2020,consumo2021,consumo2022,consumo2023,fDato,ventas2020,ventas2021,ventas2022,ventas2023,"competidores","comentarios"
13372,POLIOLES,,4000.000,4000.000,4000.000,01/03/2024,,287.380,143.460,216.880,"",""
13381,GLICOLES,400.000,400.000,400.000,700.000,01/03/2024,,17.600,,,"",""
13382,GLICOLES,150.000,150.000,250.000,250.000,01/03/2024,,98.880,122.300,121.480,"",""
13387,POLIOLES,,4.000,45.000,40.000,01/03/2024,,4.000,45.000,15.000,"",""
13393,POLIOLES,150.000,150.000,150.000,150.000,01/03/2024,,1.100,,,"Dow",""
13397,GLICOLES,400.000,400.000,316.000,1200.000,01/03/2024,,48.400,315.880,485.780,"",""
13406,POLIOLES,4200.000,4600.000,4600.000,4600.000,01/03/2024,,149.660,719.880,519.320,"Dow",""
13408,POLIOLES,3900.000,3900.000,3900.000,3900.000,01/03/2024,,498.140,1069.680,715.780,"Rokita",""
13409,POLIOLES,4000.000,4500.000,4500.000,4500.000,01/03/2024,,275.140,1075.960,640.600,"Covestro",""
13410,POLIOLES,3500.000,4000.000,3100.000,2400.000,01/03/2024,,,199.460,1616.030,"Covestro",""
13411,POLIOLES,,,,600.000,01/03/2024,,,,2.000,"",""
13412,POLIOLES,,,3.000,3500.000,01/03/2024,,,3.000,,"",""
13419,POLIOLES,,924.500,50000.000,50000.000,01/03/2024,,924.500,219.480,,"",""
13422,POLIOLES,6000.000,8270.000,7200.000,7200.000,01/03/2024,,3080.840,3702.360,2792.380,"",""
13424,POLIOLES,150.000,150.000,150.000,150.000,01/03/2024,,13.860,62.000,27.000,"Dow",""
13436,GLICOLES,,4.000,,,01/03/2024,,3.520,,,"Dow",""
13440,GLICOLES,,600.000,600.000,800.000,01/03/2024,,129.180,245.040,385.760,"",""
13442,POLIOLES,,47.000,602.406,1000.000,01/03/2024,,47.000,602.406,871.203,"","ojo que ya lo habia puesto en lo otra tabla"
13444,GLICOLES,,,47.200,150.000,01/03/2024,,,47.200,9.860,"",""
